line,function,action,class,reason
3337,<module/UI>,visible Streamlit message,REVIEW,"Broad handler is visible or transformed, but should be narrowed/logged when practical."
4723,<module/UI>,fallback assignment,LOW/EXPECTED,Appears to be optional-data/configuration fallback; retain but make intent explicit where useful.
2869,<module/UI>,fallback assignment,LOW/EXPECTED,Appears to be optional-data/configuration fallback; retain but make intent explicit where useful.
2888,<module/UI>,visible Streamlit message,REVIEW,"Broad handler is visible or transformed, but should be narrowed/logged when practical."
3318,<module/UI>,continue,HIGH,Can silently omit a ticker/observation when scoring fails.
3332,<module/UI>,fallback assignment,LOW/EXPECTED,Appears to be optional-data/configuration fallback; retain but make intent explicit where useful.
3696,<module/UI>,continue,MEDIUM,Loop work can be skipped without preserving the failure reason.
4300,<module/UI>,fallback assignment,LOW/EXPECTED,Appears to be optional-data/configuration fallback; retain but make intent explicit where useful.
4310,<module/UI>,fallback assignment,LOW/EXPECTED,Appears to be optional-data/configuration fallback; retain but make intent explicit where useful.
4362,<module/UI>,fallback assignment,LOW/EXPECTED,Appears to be optional-data/configuration fallback; retain but make intent explicit where useful.
4559,<module/UI>,continue,MEDIUM,Loop work can be skipped without preserving the failure reason.
6462,<module/UI>,continue,HIGH,Can silently omit a ticker/observation when scoring fails.
6812,<module/UI>,continue,HIGH,Can silently omit a ticker/observation when scoring fails.
7019,<module/UI>,continue,HIGH,Can silently omit a ticker/observation when scoring fails.
7235,<module/UI>,continue,HIGH,Can silently omit a ticker/observation when scoring fails.
7404,<module/UI>,continue,HIGH,Can silently omit a ticker/observation when scoring fails.
7632,<module/UI>,continue,HIGH,Can silently omit a ticker/observation when scoring fails.
7999,<module/UI>,"visible Streamlit message, With",REVIEW,"Broad handler is visible or transformed, but should be narrowed/logged when practical."
3069,<module/UI>,fallback assignment,LOW/EXPECTED,Appears to be optional-data/configuration fallback; retain but make intent explicit where useful.
6430,<module/UI>,continue,HIGH,Can silently omit a ticker/observation when scoring fails.
9004,<module/UI>,visible Streamlit message,REVIEW,"Broad handler is visible or transformed, but should be narrowed/logged when practical."
7937,<module/UI>,fallback assignment,LOW/EXPECTED,Appears to be optional-data/configuration fallback; retain but make intent explicit where useful.
7973,<module/UI>,visible Streamlit message,REVIEW,"Broad handler is visible or transformed, but should be narrowed/logged when practical."
8900,<module/UI>,"fallback assignment, visible Streamlit message",LOW/EXPECTED,Appears to be optional-data/configuration fallback; retain but make intent explicit where useful.
8970,<module/UI>,visible Streamlit message,REVIEW,"Broad handler is visible or transformed, but should be narrowed/logged when practical."
8801,<module/UI>,visible Streamlit message,REVIEW,"Broad handler is visible or transformed, but should be narrowed/logged when practical."
8956,<module/UI>,pass,MEDIUM,Failure is suppressed completely; needs review before changing behavior.
8883,<module/UI>,fallback assignment,LOW/EXPECTED,Appears to be optional-data/configuration fallback; retain but make intent explicit where useful.
8787,<module/UI>,pass,MEDIUM,Failure is suppressed completely; needs review before changing behavior.
